K,任务组编号,资源类型,资源编号,占用起点s,占用终点s,对象编号
3,1,B型共享电池,G1-BB-1,0.0,2370.702,T01
3,1,B型共享电池,G1-BB-2,0.0,3809.056,T05
3,1,B型共享电池,G1-BB-3,1210.482,4168.202,T09
3,1,B型共享电池,G1-BB-1,2711.957,6210.002,T17
3,1,B型共享电池,G1-BB-2,3809.056,7521.099,T20
3,1,B型共享电池,G1-BB-3,4541.734,8293.71,T23
3,1,C型运输无人机,G1-UC-1,0.0,1495.327,T03
3,1,C型运输无人机,G1-UC-2,0.0,2114.814,T04
3,1,C型运输无人机,G1-UC-1,1495.327,3814.962,T12
3,1,C型运输无人机,G1-UC-2,2114.814,4617.461,T14
3,1,C型运输无人机,G1-UC-1,3814.962,6506.093,T21
3,1,C型运输无人机,G1-UC-2,4617.461,6497.115,T24
3,1,C型共享电池,G1-BC-1,0.0,3038.363,T03
3,1,C型共享电池,G1-BC-2,0.0,4607.029,T04
3,1,C型共享电池,G1-BC-3,1495.327,5917.899,T12
3,1,C型共享电池,G1-BC-4,2114.814,7164.473,T14
3,1,C型共享电池,G1-BC-1,3814.962,9065.541,T21
3,1,C型共享电池,G1-BC-2,4617.461,8477.823,T24
3,1,中继无人机,G1-R-1,95.889,6941.722,R01
3,1,中继无人机,G1-R-2,108.952,6665.579,R04
3,1,中继能源组件,G1-RC-1,95.889,7911.788,R01
3,1,中继能源组件,G1-RC-2,108.952,7589.182,R04
3,2,A型运输无人机,G2-UA-1,0.0,1713.036,T06
3,2,A型运输无人机,G2-UA-2,1316.642,3029.678,T11
3,2,A型运输无人机,G2-UA-1,3593.203,5246.239,T19
3,2,A型共享电池,G2-BA-1,0.0,2762.035,T06
3,2,A型共享电池,G2-BA-2,1316.642,4097.576,T11
3,2,A型共享电池,G2-BA-1,3593.203,6266.618,T19
3,2,中继无人机,G2-R-1,108.952,6665.579,R04
3,2,中继能源组件,G2-RC-1,108.952,7589.182,R04
3,3,B型运输无人机,G3-UB-1,2075.298,3635.905,T13
3,3,B型共享电池,G3-BB-1,2075.298,5213.427,T13
3,3,中继无人机,G3-R-1,108.952,6665.579,R06
3,3,中继能源组件,G3-RC-1,108.952,7589.182,R06
