扰动组,取值,指标,数值,单位,扰动口径,备注
交付解·最小裕量·逐架次,T09,最小直连裕量,-1.7845800874350743,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T10,最小直连裕量,2.2165191732962626,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T11,最小直连裕量,-1.2167163834791381,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T12,最小直连裕量,-1.6653095447508122,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T13,最小直连裕量,-3.2070636791438716,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T14,最小直连裕量,-5.2958234150808465,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T15,最小直连裕量,-2.756772722393208,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T16,最小直连裕量,-5.479912251162574,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T17,最小直连裕量,-3.6685734288105465,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T18,最小直连裕量,-5.835250800916114,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T19,最小直连裕量,-1.2167163834791381,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T20,最小直连裕量,-5.835250800916114,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T21,最小直连裕量,-6.234781926812332,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T22,最小直连裕量,-5.2958234150808465,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T23,最小直连裕量,-5.835250800916114,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐架次,T24,最小直连裕量,-2.5431749480625,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,非负即该架次全轨迹无需中继
交付解·最小裕量·逐区间,G01,最小接入裕量,0.4259073703485683,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S03 保障
交付解·最小裕量·逐区间,G02,最小接入裕量,2.6082689643017574,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S05 保障
交付解·最小裕量·逐区间,G03,最小接入裕量,7.319459314723659,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S03 保障
交付解·最小裕量·逐区间,G04,最小接入裕量,6.54063808459496,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S05 保障
交付解·最小裕量·逐区间,G05,最小接入裕量,8.572365807681635,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S05 保障
交付解·最小裕量·逐区间,G06,最小接入裕量,11.551253520584297,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S01 保障
交付解·最小裕量·逐区间,G07,最小接入裕量,12.591326422082687,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S06 保障
交付解·最小裕量·逐区间,G08,最小接入裕量,1.7824838048501306,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S02 保障
交付解·最小裕量·逐区间,G09,最小接入裕量,4.257800334108026,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S02 保障
交付解·最小裕量·逐区间,G10,最小接入裕量,9.645801189101547,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S06 保障
交付解·最小裕量·逐区间,G11,最小接入裕量,0.4227893634967188,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S02 保障
交付解·最小裕量·逐区间,G12,最小接入裕量,11.681000402994599,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S02 保障
交付解·最小裕量·逐区间,G13,最小接入裕量,14.760524039388997,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S04 保障
交付解·最小裕量·逐区间,G14,最小接入裕量,11.551253520584297,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S01 保障
交付解·最小裕量·逐区间,G15,最小接入裕量,14.760524039388997,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S04 保障
交付解·最小裕量·逐区间,G16,最小接入裕量,6.978927384079924,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S04 保障
交付解·最小裕量·逐区间,G17,最小接入裕量,11.408224244401993,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S01 保障
交付解·最小裕量·逐区间,G18,最小接入裕量,14.760524039388997,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S04 保障
交付解·最小裕量·逐区间,G19,最小接入裕量,8.965401775733895,dB,交付轨迹与站址固定，逐 Δt=1 s 采样点取最小；不含重解,交付方案由 S04 保障
